Survived;Pclass;Sex;Age;SibSp;Parch;Fare
0;3;male;40.5;0;2;14.5
1;3;female;16;0;0;77333
0;3;male;30;0;0;8.05
0;3;male;44;0;1;16.1
0;3;male;26;0;0;7775
0;3;male;17;0;0;86625
0;3;male;1;4;1;396875
1;3;male;9;0;2;20525
0;3;female;45;1;4;27.9
0;3;male;28;0;0;564958
0;3;male;4;4;1;29125
1;3;female;1;1;1;111333
0;3;male;21;0;0;7925
0;3;male;18;1;1;78542
0;3;male;36;0;0;0
0;3;male;9;4;2;313875
1;3;female;4;0;2;22025
0;3;male;40;1;1;15.5
0;3;male;36;0;0;78958
1;3;female;19;1;0;78542
0;3;male;42;0;1;84042
0;3;male;28;0;0;9.5
0;3;male;34;0;0;64958
0;3;male;45.5;0;0;7225
1;3;male;18;0;0;8.05
0;3;female;2;0;1;104625
0;3;male;32;1;0;15.85
1;3;male;26;0;0;187875
1;3;female;16;0;0;7.75
0;3;male;24;0;0;7.05
0;3;male;22;0;0;7.25
1;3;female;27;0;0;7925
1;3;male;16;0;0;8.05
0;3;male;51;0;0;8.05
0;3;male;22;0;0;9.35
0;3;male;20.5;0;0;7.25
0;3;male;29;0;0;7775
1;3;female;5;4;2;313875
0;3;male;22;0;0;7125
0;3;male;30;0;0;7225
0;3;female;25;0;0;7775
0;3;female;29;1;1;104625
0;3;male;30;1;0;16.1
0;3;female;41;0;2;202125
1;3;female;29;0;2;152458
1;3;male;3;4;2;313875
0;3;male;16;4;1;396875
1;3;male;25;1;0;7775
1;3;male;25;0;0;0
0;3;female;45;0;0;7.75
0;3;male;7;4;1;29125
1;3;female;35;1;1;20.25
0;3;male;65;0;0;7.75
0;3;male;28;0;0;78542
0;3;male;16;0;0;9.5
1;3;male;19;0;0;8.05
0;3;male;33;0;0;86625
1;3;male;30;0;0;9.5
0;3;male;22;0;0;78958
1;3;female;22;0;0;7.75
0;3;female;24;0;0;8.85
0;3;male;24;0;0;78958
0;3;male;23.5;0;0;72292
0;3;male;19;0;0;0
0;3;male;28;0;0;78958
1;3;female;26;0;0;78542
0;3;male;22;0;0;7.25
0;3;male;27;0;0;78958
0;3;male;61;0;0;62375
1;3;female;31;1;1;20525
0;3;male;16;2;0;18
1;3;male;45;0;0;8.05
1;3;male;3;1;1;15.9
0;3;male;42;0;0;86625
0;3;male;23;0;0;9225
0;3;male;15;1;1;72292
0;3;male;25;1;0;17.8
0;3;male;28;0;0;9.5
0;3;male;40;1;4;27.9
0;3;female;45;0;1;144542
0;3;male;35;0;0;7.05
0;3;male;30;0;0;7.25
0;3;male;18;1;0;64958
0;3;male;19;0;0;8.05
0;3;female;3;3;1;21075
1;3;female;22;0;0;7.25
0;3;male;20;0;0;40125
0;3;male;19;0;0;7775
1;3;female;1;0;2;157417
0;3;male;32;0;0;7925
0;3;male;1;5;2;46.9
1;3;male;21;0;0;77958
0;3;male;28;2;0;7925
1;3;female;24;0;2;16.7
0;3;male;22;0;0;77958
0;3;female;31;0;0;78542
1;3;male;39;0;0;7925
0;3;male;26;0;0;8.05
0;3;female;21;1;0;9825
0;3;male;28;1;0;15.85
0;3;female;20;0;0;86625
0;3;male;51;0;0;7.75
0;3;male;21;0;0;7775
1;3;male;44;0;0;7925
0;3;female;10;0;2;24.15
0;3;male;21;0;0;77333
0;3;male;29;0;0;7875
0;3;female;28;1;1;14.4
0;3;male;18;1;1;202125
1;3;male;32;0;0;8.05
0;3;male;17;0;0;7125
0;3;female;21;2;2;34375
0;3;male;20;0;0;9.5
0;3;male;25;1;0;7775
1;3;female;5;2;1;192583
1;3;male;29;0;0;78958
0;3;male;34;0;0;8.05
0;3;male;38;0;0;7.05
1;3;female;0.75;2;1;192583
0;3;male;38;0;0;86625
0;3;female;22;0;0;98375
0;3;male;29;1;0;70458
0;3;male;22;0;0;75208
1;3;female;2;0;1;122875
0;3;male;9;5;2;46.9
0;3;male;50;0;0;8.05
1;3;female;63;0;0;95875
0;3;male;30;0;0;8.05
1;3;male;9;1;1;15.9
0;3;male;21;0;0;7.25
0;3;male;21;0;0;8.05
0;3;male;24;0;0;77958
0;3;male;17;0;0;86625
0;3;female;21;0;0;7.75
0;3;female;37;0;0;95875
0;3;male;28;0;0;22525
1;3;male;26;0;0;564958
1;3;male;29;0;0;7.75
0;3;male;24;0;0;74958
0;3;male;32;0;0;78958
0;3;male;22;0;0;78958
0;3;male;40.5;0;0;7.75
0;3;male;39;0;0;7925
0;3;male;17;1;1;72292
0;3;female;30;0;0;86625
0;3;female;9;4;2;31275
0;3;female;11;4;2;31275
0;3;male;33;1;1;20525
1;3;male;22;0;0;7225
1;3;female;22;0;0;7775
1;3;female;36;1;0;17.4
0;3;male;40;0;0;78958
0;3;male;24;2;0;24.15
0;3;male;19;0;0;78958
0;3;female;29;0;4;21075
1;3;male;32;0;0;78542
0;3;male;16;0;0;8.05
0;3;male;19;0;0;14.5
1;3;male;32;0;0;7925
0;3;male;22;0;0;8.05
0;3;male;35;0;0;7125
0;3;male;47;0;0;7.25
0;3;male;36;1;1;24.15
0;3;male;49;0;0;0
0;3;male;44;0;0;8.05
0;3;male;36;1;0;15.55
0;3;male;30;0;0;78958
0;3;female;39;1;5;31275
0;3;male;35;0;0;8.05
0;3;male;34;1;1;14.4
0;3;female;26;1;0;16.1
0;3;male;27;1;0;144542
1;3;male;20;1;1;157417
0;3;male;21;0;0;78542
0;3;male;21;0;0;16.1
0;3;male;26;0;0;78958
0;3;male;51;0;0;70542
0;3;female;9;3;2;27.9
0;3;male;32;0;0;7925
0;3;female;41;0;5;396875
0;3;male;20;0;0;78542
0;3;female;2;3;2;27.9
1;3;female;0.75;2;1;192583
0;3;male;19;0;0;78958
1;3;female;23;0;0;7.55
0;3;male;21;0;0;84333
0;3;female;18;0;0;6.75
0;3;female;32;1;1;15.5
0;3;male;40;0;0;7225
0;3;male;36;0;0;74958
1;3;male;20;1;0;7925
0;3;male;43;0;0;8.05
0;3;male;18;0;0;7775
0;3;male;24.5;0;0;8.05
1;3;female;18;0;0;98417
0;3;female;43;1;6;46.9
0;3;male;20;0;0;9225
0;3;male;14;5;2;46.9
0;3;male;14;4;1;396875
0;3;male;19;0;0;101708
0;3;male;18;0;0;77958
1;3;female;4;0;1;134167
0;3;male;25;0;0;7225
0;3;male;44;0;0;8.05
0;3;male;42;0;0;7.65
0;3;female;18;0;1;144542
0;3;male;25;0;0;77417
0;3;male;26;1;0;78542
0;3;male;29;0;0;94833
0;3;male;19;0;0;7.65
0;3;male;33;0;0;7775
0;3;male;17;1;0;70542
0;3;male;20;0;0;86625
0;3;female;25;1;0;7925
0;3;male;11;0;0;187875
0;3;male;28.5;0;0;16.1
0;3;female;48;1;3;34375
0;3;male;24;1;0;16.1
1;3;male;31;0;0;7925
0;3;male;16;1;1;20.25
0;3;male;31;0;0;7.75
1;3;male;6;0;1;12475
0;3;male;33;0;0;9.5
0;3;male;23;0;0;78958
0;3;male;28;0;0;77958
0;3;male;34;0;0;8.05
0;3;male;41;0;0;7125
1;3;male;20;0;0;72292
0;3;male;16;0;0;7775
0;3;female;30.5;0;0;7.75
0;3;male;32;0;0;83625
0;3;male;24;0;0;9.5
0;3;male;48;0;0;78542
0;3;male;18;0;0;7.75
1;3;female;5;0;0;12475
1;3;female;13;0;0;72292
0;3;male;25;0;0;7.05
0;3;male;25;0;0;7.25
1;3;female;18;0;0;74958
0;3;male;8;4;1;29125
1;3;male;1;1;2;20575
0;3;male;25;0;0;78958
1;3;female;31;0;0;86833
0;3;male;30;0;0;72292
0;3;female;30;1;1;24.15
1;3;male;0.42;0;1;85167
1;3;male;27;0;0;6975
0;3;male;31;0;0;7775
0;3;female;18;0;0;7775
0;3;male;26;0;0;78875
0;3;male;39;0;0;24.15
0;3;female;6;4;2;31275
0;3;male;30.5;0;0;8.05
0;3;female;23;0;0;7925
0;3;male;43;0;0;6.45
0;3;male;10;3;2;27.9
1;3;male;27;0;0;86625
1;3;female;27;0;1;12475
0;3;male;2;4;1;396875
1;3;female;15;1;0;144542
0;3;male;23;0;0;78542
0;3;male;18;0;0;8.3
0;3;male;21;0;0;86625
1;3;male;32;0;0;564958
0;3;male;20;0;0;7925
0;3;male;34.5;0;0;64375
0;3;male;17;0;0;86625
0;3;male;42;0;0;7.55
0;3;male;35;0;0;78958
0;3;male;4;4;2;31275
0;3;male;74;0;0;7775
0;3;female;9;1;1;152458
1;3;female;18;0;1;9.35
1;3;female;24;0;3;192583
0;3;male;41;2;0;141083
1;3;male;4;1;1;111333
0;3;male;26;0;0;78958
0;3;male;47;0;0;9
1;3;female;15;0;0;7225
0;3;male;20;0;0;98458
0;3;male;19;0;0;78958
0;3;male;33;0;0;78958
0;3;female;22;0;0;105167
0;3;male;25;0;0;7.05
0;3;female;39;0;5;29125
0;3;male;32;0;0;7.75
